month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
08/2016,749543.271,1195282.172,1204629.506,96.2,101.9,97.3,100.1,99.5,100,97.5,100.1,100.1,99.8,99.7,100,99.9,100.1,686621.309,374058.601,312562.708,2375.439,154748.546,396148.881,637897.354,429964.2,17002.6,408769.9,1346.9,8.4,4212.56,4375.7,12728,-4431,140,-3308
09/2016,753416.721,1200629.672,1210101.416,102.8,100,102.8,99.7,99.8,100,100.9,100.6,100,100,100,100,99.8,100.1,687828.035,376409.738,311418.297,2291.697,155831.074,397162.551,640391.434,431536.4,16946.3,410465.3,1324.1,8.3,4217.96,4479.8,12665,-4836,91,-3003
10/2016,759085.087,1208958.246,1218275.348,99.7,96.5,107.4,94.8,100.5,100.2,103.6,100,100,100.5,100.6,100.4,100.4,100.3,691800.687,380825.887,310974.8,2240.369,156665.449,398736.067,642641.058,446332,16653.2,425508.1,1308,8.2,4259.37,4725.5,16620,-1349,-223,-21
11/2016,784755.363,1231173.086,1239680.869,100.8,101.3,114.6,97.8,100.4,100.1,99.7,100,100,100.1,100.1,100.1,100,100,703095.628,390133.477,312962.151,2189.868,157357.645,404284.56,648729.428,462448.7,16398,441695.5,1313.6,8.2,4329.71,4481.1,16573,-810,3685,5914
12/2016,815304.036,1256211.86,1265661.65,103.9,104.8,120.4,102.5,101.2,100,98.9,100,100,100.7,100.8,99.9,100.1,100.1,713855.042,399945.865,313909.177,2179.939,156897.666,405032.068,648178.947,478076.9,16035.8,457687.9,1335.2,8.2,4635.77,4384.4,18115,-1306,5438,8457
01/2017,797286.502,1238924.191,1249194.589,102.8,101.3,118.1,97.6,101.8,100.1,95.7,100.1,99.7,100.4,100.3,100.2,99.7,100.4,714327.364,401223.608,313103.756,2142.818,157989.163,403139.845,648094.708,459850.8,16051.2,439634.5,1397.1,8.5,4277.32,3706.1,15330,10643,478,8959
02/2017,809621.039,1244740.997,1253836.479,100.8,98.2,121,98.5,101,100.5,98.2,100,99.9,100.3,100.4,100,100.1,100.2,720997.837,409601.112,311396.725,2078.827,158276.302,403701.915,649107.793,451768.4,16896.4,430748.5,1383.4,8.4,4304.95,3845.8,11501,-1613,863,-2743
03/2017,810789.103,1243238.909,1253372.791,103.9,99.9,124.2,103.2,99.6,100.1,101.8,100,100,99.9,99.9,100.2,100.2,100.1,722887.758,413287.628,309600.13,2039.608,159048.161,400994.163,648497.509,441836.6,16218.2,421626.4,1324.2,8,4577.86,4555.9,13672,-216,1326,-1205
04/2017,811904.589,1246275.189,1257180.992,99.9,100.8,127.4,108.1,100,99.6,103,100,100,100.3,100.3,100.3,100.6,100.1,723173.307,417390.575,305782.732,2030.67,160462.671,400525.715,650164.139,423403.4,16212,403231.5,1252.7,7.6,4489.07,4438.3,11296,1242,427,-1506
05/2017,825305.198,1250680.325,1263878.301,103.3,100.5,131.4,102.5,100.8,100.2,99.7,100,102.4,100,100,100.2,99.9,100.1,719092.914,418092.446,301000.468,2023.949,162262.14,399508.969,651612.98,409837.3,15628.1,390360.2,1202.1,7.3,4390.99,4658,13641,-893,970,-2303
06/2017,830521.178,1249015.235,1260701.952,100,99.2,133,101.5,100.1,99.9,99,99.9,99.6,99.8,99.8,100.1,100,100,722614.61,424940,297674.61,2002.231,160903.144,407649.988,657138.413,414068.1,15253.8,394970.8,1151.6,7,4508.08,4607.9,12846,-4747,2334,-3607
07/2017,837388.62,1252247.803,1264291.93,97.5,99.4,133.3,94.2,99.8,100.2,96.6,100.1,100.1,99.8,99.8,100.1,99.9,100.1,721315.749,425382.312,295933.437,2030.025,161898.071,404810.403,656057.726,398126,15202.8,379219.6,1140,7,4501.52,4745.9,17334,-2584,2796,-1420
08/2017,843145.964,1259261.618,1269796.34,92,102.9,133.2,100.2,99.4,99.9,97.5,100.1,99.5,99.9,99.8,99.9,99.8,100.1,723732.469,428486.657,295245.812,2069.682,163274.32,405590.427,658053.252,392903.7,15485.3,373790.7,1136.1,7,4492.63,4807.9,14404,477,631,-1217
09/2017,844458.426,1266349.04,1275942.425,101.4,99.1,129.6,99.8,100.4,100.4,102.1,100.9,100.5,100.4,100.4,100.2,100.1,100.3,724792.058,429938.64,294853.418,2089.21,164525.446,408629.362,662696.118,406641.6,15558.8,387418,1117.1,6.8,4473.06,4778.4,14210,-575,1001,-2692
10/2017,856908.891,1277419.021,1287690.466,100.5,102.2,123.4,91.6,100.9,99.8,103.5,100.5,99.9,100.5,100.6,100.3,100.3,100.1,728118.341,433641.971,294476.37,2102.687,165704.576,406629.257,661624.668,404153.2,15411.3,385122.4,1069.5,6.6,4574.35,5022.4,17409,-917,2454,-968
