month,M1_mio_PLN,M2_mio_PLN,M3_mio_PLN,Wheat_prices_index_MoM,cattle_prices_index_MoM,milk_prices_index_MoM,pigs_price_index_MoM,food_and_beverages_price_index_MoM,alcohol_and_tobacco_products_price_index_MoM,clothes_and_shoes_price_index_MoM,education_goods_and_services_price_index_MoM,communications_goods_and_services_price_index_MoM,consumer_price_index_MoM,core_inflation_net_of_administered_prices_excluded_MoM,core_inflation_net_of_most_volatile_prices_MoM,core_inflation_net_of_food_and_energy_prices_MoM,core_inflation_15pct_trimmed_mean_MoM,total_deposits_mln_PLN,total_overnight_deposits_mln_PLN,total_term_deposits_mln_PLN,total_accrued_interest_on_deposits_mln_PLN,total_consumption_loans_mln_PLN,total_loans_for_purchase_of_property_mln_PLN,total_loans_to_households_mln_PLN,total_official_reserve_assets_mln_PLN,monetary_gold_mln_PLN,other_reserve_assets_mln_PLN,registered_unemployed_in_thousands,rate_of_unemployment,average_monthly_salary_in_private_sector_PLN,rail_transport_mln_ton-km,new_flats_added,current_account_mln_PLN,capital_account_mln_PLN,financial_account_mln_PLN
03/2005,189897.53,380308.273,391189.56,97.6,102.6,119,100,100.2,100.3,99.4,100.1,100.3,100.1,100.1,100,100.1,100,213610.084,69950.923,143659.161,2910.405,47350.523,39240.261,112752.857,120464.2,4456.5,113680.6,3052.6,19.2,2480.43826337788,.,6968,-1846.35870961858,1522.82466666667,-836.332950080514
04/2005,185688.719,385623.925,397675.712,96.6,100.4,115.6,91.2,100.5,100.5,99.9,100.1,100,100.4,100.4,100.2,100.1,100,214780.232,71104.953,143675.279,2981.395,48651.295,41645.83,118509.19,134503.8,4726.6,127389.9,2957.8,18.7,2471.13185915048,.,8926,-1106.60723541367,166.471333333333,107.264175523349
05/2005,199174.312,392122.961,405254.21,99.8,100.1,110.8,99.3,100.9,100.6,100,100,100,100.3,100.4,99.9,100.1,100,213452.048,72680.627,140771.421,2962.24,49516.881,42043.973,124643.745,135182.4,4586.9,128409.1,2867.3,18.2,2423.68597987237,.,7287,-3936.39926874208,15.4713333333333,-206.806495974236
06/2005,198995.235,390159.927,404867.326,96,102.2,108,102.9,98.8,100.5,99.9,100,99.9,99.8,99.7,99.9,100.1,100,214304.895,74157.345,140147.55,2952.395,50308.036,43379.122,120424.586,137983.8,4834.3,131013,2827.4,18,2512.62245413195,.,6718,-843.755662376307,107.471333333333,-1588.14376972625
07/2005,197210.915,391150.422,403396.094,102.3,98.9,104.2,108.2,98.3,100.3,99.4,100,100,99.8,99.6,100.3,100.1,100.1,215329.903,75325.613,140004.29,2980.017,51287.069,45096.992,123479.044,137455.7,4759.8,130678.9,2809,17.9,2506.44628688373,.,8838,-2706.20689918911,65.055,-1921.23462640902
08/2005,204548.666,397421.797,409919.699,92,98.9,102.2,105.2,99.4,100.2,98.8,100,100,99.9,99.9,100.1,99.9,100.1,215501.299,76085.314,139415.985,2963.137,52459.872,46518.978,126491.312,136995.4,4746.4,130244.7,2783.3,17.7,2480.05648531533,.,9594,-2478.32777265592,113.055,1549.6719194847
09/2005,203606.716,401581.22,414133.794,103.2,98.1,101.4,98.6,100.6,100.2,99.6,100.5,100.1,100.4,100.4,100.2,100,100.1,213793.662,75741.836,138051.826,2949.625,53429.612,47145.453,128348.208,133735.7,5100.8,126893.7,2760.1,17.6,2483.81723209878,.,9519,-2728.54168278701,236.055,-4080.94421095008
10/2005,207584.179,407006.481,422359.651,100.3,95.8,99.7,94.3,100.9,100.1,100.3,100.8,100,100.4,100.3,100.3,100.1,100.1,215114.635,76735.991,138378.644,2968.907,54742.122,49581.099,132169.418,137821.5,5170,130876.8,2712.1,17.3,2538.71390991267,.,10095,-2946.57021947664,130.712666666667,-3182.37352012882
11/2005,214577.235,408782.113,421697.322,100.6,98.9,98.4,92.4,99.7,100,100,100.1,99.4,99.8,99.7,100.1,99.9,100,214990.351,79033.029,135957.322,2699.716,55493.915,50529.134,134103.316,137437.7,5417.3,130264,2722.8,17.3,2679.40199058739,.,10048,-2858.89880525829,60.7126666666667,-3406.17887278583
12/2005,220639.045,415163.519,427125.439,100.4,99.4,98.6,100.1,100,100,99.9,100,99.9,99.8,99.7,100.2,100,100,218383.686,82718.711,135664.975,2452.265,56023.724,52331.361,136025.713,138837.6,5535,132073,2773,17.6,2789.08062302645,.,16541,-2762.16877491181,594.712666666667,-3304.22951690821
01/2006,217345.614,410120.206,422119.795,104.1,101.7,97.9,94.5,100.3,100.1,98.1,100.2,100,100.2,99.8,100,99.9,100.1,217928.379,82274.002,135654.377,2447.486,56138.589,53462.262,137422.894,136648.2,5962.1,129922.8,2866.7,18,2470.93651114475,.,10192,-1826.90447520971,623.189,-1621.92843639291
02/2006,224478.716,417061.959,431534.036,102.7,104.8,99.1,95.2,100.3,99.9,98,100,100,100,100,99.9,99.9,100,218882.455,84341.174,134541.281,2416.669,55953.903,53663.728,137559.685,144566,5848.6,137956.2,2865.9,18,2526.1276115045,.,8754,-4290.8956498676,628.189,-3391.18338808373
03/2006,222772.834,421150.531,433718.524,101.3,101.4,99.1,104.7,99.8,99.9,99.3,100,100,99.9,99.9,100.1,100,100,222063.247,87474.767,134588.48,2393.414,57029.023,57213.624,142731.942,143837.1,6276.7,136778.4,2822,17.8,2613.66826052407,.,9338,-3590.28767579331,120.189,-4010.77848953301
04/2006,222679.079,425273.793,438928.485,101.4,100.3,100.3,98.5,100.7,100,99.9,100,100,100.7,100.5,100.2,100.1,100,220766.411,88550.706,132215.705,2412.795,57915.078,58754.753,145590.677,140011.3,6511.7,132733.8,2703.6,17.2,2569.83780803098,.,7319,-3401.97504357025,400.814,-1400.32771014493
05/2006,237369.359,433601.452,449313.808,103.6,99.6,100.5,100.1,101.3,100.2,99.9,100,100,100.5,100.6,100,100,100.1,221387.487,90721.199,130666.288,2429.152,59782.47,62267.096,151465.925,148844.1,6635.6,141438.2,2583,16.5,2549.4672543934,.,6603,-3293.73104683688,540.814,-283.324333333334
06/2006,240177.119,440505.178,454377.067,102,101.3,100.2,106.4,98.9,100.3,99.8,100.1,100,99.7,99.7,99.7,100.1,100,226260.473,94000.536,132259.937,2436.772,60889.621,65780.298,156551.237,149275.2,6318.9,142162,2487.6,15.9,2624.72059099405,.,8155,-3423.51878339432,-126.186,-5053.83379227053
07/2006,246683.784,442798.058,456525.549,97.4,97,100.2,110.3,98.5,100.3,99.2,100,101.9,100,99.9,100.1,100.5,100.1,225953.504,95070.33,130883.174,2428.538,61905.207,67274.231,159886.303,149309.8,6496.4,142038.9,2443.4,15.7,2647.73281622231,.,9545,-3926.28615825685,822.087666666667,2163.56639291465
08/2006,248995.307,449012.041,463246.501,106.6,99,101,109,100.7,100.4,98.5,100,100.1,100.3,100.4,100.2,100,100.2,227973.203,96324.044,131649.159,2439.688,63358.651,70056.63,164726.11,149310.3,6303.9,142185.8,2411.6,15.5,2611.9110384383,.,8508,-4303.41047760619,-1.91233333333328,-2902.41430756844
09/2006,253299.554,454205.828,469492.056,113.5,102.1,101.1,96.4,100.6,100.2,99.8,100.3,100,100.2,100.2,100.1,100.1,100.1,229592.288,97714.25,131878.038,2444.109,64912.087,73135.157,169833.581,153023.2,6255.4,145934.4,2363.6,15.2,2611.01008955077,.,8167,-1179.03858862464,1151.08766666667,1911.29699677939
10/2006,254663.826,459026.73,476372.084,102,97.6,101.1,91,100.8,100.1,100.1,100.3,99.9,100.1,100.1,100.1,100.1,100.1,229689.004,98951.992,130737.012,2453.043,66174.838,75380.672,173424.82,144502,6089,137593.3,2301.8,14.9,2658.09,.,11241,-5903.59245033634,57.9493333333333,-4151.59100161031
11/2006,264100.335,466057.044,483261.36,106.4,97.1,100.4,91.6,100.2,100.1,100,100.1,99.7,100,100,100.4,100,100.1,228759.406,101225.714,127533.692,2253.375,67109.759,77447.042,177845.919,143060.8,6105.8,136164.6,2287.3,14.8,2759.55,.,11541,-5152.98087912967,834.949333333333,-6585.0972141707
12/2006,275830.909,481210.466,495309.469,106.9,101.8,101.5,95.8,99.7,100.1,99.8,100,100.1,99.8,99.7,100.5,100,100,237149.053,108471.457,128677.596,2214.118,68334.716,80889.853,182893.022,141113.7,6120.9,134225.5,2309.4,14.8,3027.52,.,15990,-5630.61895795801,1430.94933333333,-7427.59200805153
01/2007,277433.832,488060.833,503574.817,110.1,101.9,101.2,96.1,101.1,100.1,97.7,100.2,99.9,100.4,100.2,99.9,100,100.2,240677.663,112577.987,128099.676,2179.447,69157.125,84663.303,188424.449,155684.1,6494.4,148390.6,2365.8,15.1,2663.16,.,10186,-5674.12726551744,596.104333333333,-3519.5284863124
02/2007,284706.498,495376.461,509351.694,102.6,103,101.8,103.1,100.7,100.1,98.3,100,100,100.3,100.3,100.1,100,100.1,243212.953,116320.806,126892.147,2186.453,69586.939,87452.52,191279.759,151419.5,6651.6,143980,2331.1,14.8,2686.92,.,8717,-5198.43149109053,618.104333333333,-6364.47885346216
03/2007,286465.75,497294.745,511981.723,98.1,99.2,103.8,100.9,100.8,100,99.3,100,100,100.5,100.5,100.1,100.1,100.2,241732.675,115907.38,125825.295,2182.709,71460.739,89959.785,197829.373,147570.3,6378.2,140469.3,2232.5,14.3,2852.35,.,8076,-5601.27917047096,533.104333333333,-5004.21615136875
04/2007,285350.548,502083.302,517000.455,97.7,98.3,104.8,100.9,100.9,100.1,99.9,100,100,100.5,100.5,100.1,100.2,100.2,239488.498,115977.385,123511.113,2194.121,72967.152,91871.249,203284.146,145083.8,6248.6,138132.2,2103.1,13.6,2785.93,.,8759,-5122.53962271289,854.202,-4590.45333977456
05/2007,293061.997,504800.537,521236.68,98.5,96.1,107.6,97.1,101.2,100.3,100,100,100,100.5,100.6,99.7,100.2,100.2,236980.228,116454.991,120525.237,2205.991,75622.04,96486.898,210476.471,156754.7,6171.3,149869.2,1985.1,12.9,2776.82,.,8408,-8172.67952901366,379.202,-9885.53514653784
06/2007,295882.037,506806.993,521382.119,95.3,99.4,109.3,109,99,100.9,99.9,100,100,100,100,99.8,100.2,100.2,237461.872,118395.991,119065.881,2195.151,77590.7,100019.474,216337.54,152375.1,6004.2,145710.9,1895.1,12.3,2868.97,.,8682,-8494.95937140378,698.202,-8761.50234782608
07/2007,303226.601,511540.906,527691.986,94.9,99.3,113.3,112.6,98.4,101.4,98.8,100.3,100,99.7,99.7,100.1,100.2,100.2,238184.473,119876.022,118308.451,2210.261,79949.002,105414.296,224994.216,155122,6099.1,148356.2,1856.1,12.1,2893.57,.,11527,-7612.78519150645,566.95,-3175.4550531401
08/2007,301053.34,521751.55,538040.593,122.8,103.2,117.4,103,99.4,101.1,98.8,100,98.1,99.6,99.6,100.3,99.7,100.1,243697.698,123277.722,120419.976,2217.455,82175.961,110716.812,232674.597,157341.7,6185.2,150481.7,1821.9,11.9,2885.47,.,11559,-4843.09536215135,1419.95,-2788.01399516908
09/2007,309745.642,523462.956,537327.26,123.4,102,125.7,99.7,102.4,100.6,99.9,100.7,100,100.8,100.9,100.6,100.1,100.3,245094.965,124699.021,120395.944,2207.267,84339.836,113295.244,237780.693,155382.6,6503.2,148229.4,1777.8,11.6,2858.09,.,11038,-5101.11831170898,1210.95,-6671.80259259259
10/2007,302668.148,527874.019,541941.424,98.6,96.7,130.5,88.5,101.7,100.3,100.2,101.1,100,100.6,100.7,100.6,100.2,100.3,245214.755,125339.277,119875.478,2215.207,87177.72,113865.984,241950.661,151254.1,6515.6,144121.9,1720.9,11.3,2950.95,.,15983,-7606.63810111912,1821.40933333333,-5252.636352657
11/2007,313377.185,536088.887,548955.265,96.8,96.7,137.2,91.1,101.5,100.2,100.2,100.1,100,100.7,100.7,100.9,100.1,100.3,250081.495,129007.551,121073.944,2170.054,88283.452,119130.246,248258.876,167741.8,6464.6,160667,1719.4,11.2,3091.33,.,13548,-5252.18746335602,1496.40933333333,-4395.46183091787
12/2007,335266.206,549344.291,561623.759,100.6,102.3,134.4,102.6,100.3,100.3,99.8,100,100.3,100.3,100.3,100.9,100.2,100.2,260643.161,136658.457,123984.704,2158.417,90501.928,121799.156,253189.386,160090.1,6738.6,152751.2,1746.6,11.2,3245.14,.,17215,-10089.5587771072,2588.40933333333,-8476.78554750403
01/2008,330358.387,556007.732,568642.967,107.1,101.9,129.2,103.9,101.1,100.3,96.8,100.6,100.5,100.7,100.6,100.4,100.5,100.5,273088.344,143573.056,129515.288,2196.859,91988.238,127736.095,260928.245,167557.7,7468.4,159488.4,1813.4,11.5,2975.54,.,14640,-5653.77581979309,912.028,-4087.06389694042
02/2008,328719.978,565581.997,577956.212,102.1,101.2,124.1,93.8,100.2,100.2,98.4,100.2,99.8,100.4,100.1,100.6,100.1,100.3,278519.726,143775.493,134744.233,2229.325,93163.87,129298.559,264869.461,167885.4,7423.1,159886.9,1778.5,11.3,3040.46,.,10977,-5813.24520316759,1021.028,-6514.25659742351
03/2008,337995.084,570176.454,581823.215,103.4,100.1,118.9,110.5,100.4,100.2,101,100.1,100,100.4,100.4,100.4,100.3,100.3,282510.95,146331.221,136179.729,2282.786,95545.797,133986.932,272708.931,171671.8,6916.3,164175.4,1702.2,10.9,3152.96,.,9798,-8341.24591149286,2853.028,-7089.72439452496
04/2008,327108.659,581982.673,594317.671,101.3,100.3,112.8,100.4,100.7,100.2,99.9,100.1,100,100.4,100.4,100.1,100.3,100.3,282770.967,146077.608,136693.359,2390.613,98143.614,134895.439,278100.329,176096.7,6392.7,169141.4,1605.7,10.3,3144.87,.,13717,-6962.78765478906,4769.87466666667,-3819.84290660225
05/2008,343810.678,589308.477,600136.357,93.8,100.8,106.5,110.7,101.2,100.4,99.9,100,100,100.8,100.6,99.9,100.2,100.4,284879.012,148732.453,136146.559,2538.416,100642.62,136493.362,283029.907,172192.4,6350.3,165242.7,1525.6,9.8,3076.14,.,9724,-7795.44790537243,683.874666666667,-7748.40250563607
06/2008,353668.999,595558.242,606583.068,93,102.6,102.4,107.2,99.4,100.7,99.7,100.1,100.4,100.2,100.2,100,100.3,100.4,289587.581,153119.841,136467.74,2624.79,103379.706,141539.429,291748.183,174944,6541.2,167812.8,1455.3,9.4,3222.47,.,10427,-8274.33252441485,558.874666666667,-9524.25915458937
07/2008,352889.205,605561.126,616092.587,85.8,96.4,95.7,103.5,98.9,101.1,98.3,100.1,100.1,100,99.9,100.3,100.2,100.3,295360.702,155845.659,139515.043,2730.429,105883.266,141279.505,294393.484,174247,6188.8,167489.7,1422.9,9.2,3234.96,.,14630,-5221.97685535114,272.468333333333,-2258.3140805153
08/2008,353016.964,614791.029,628647.656,83.2,101.7,89.5,101.1,98.4,101.8,98.2,100.4,99.7,99.6,99.5,100.2,100.1,100.1,299736.895,155151.412,144585.483,2832.315,108984.079,150028.47,306870.74,185157.1,6280.4,178268.4,1404.4,9.1,3172.54,.,11184,-6480.33338422204,1047.46833333333,-7542.35791143317
09/2008,355002.007,619703.1,630463.687,90.2,100.4,81.4,102.8,100.6,101.2,101.4,101.4,100,100.3,100.3,100.5,100.3,100.2,302183.608,151714.506,150469.102,2919.634,112115.187,158033.88,318414.695,175975.3,7036.5,168307.3,1376.6,8.9,3176.84,.,12387,-9386.21069391853,122.468333333333,-12532.6116650564
10/2008,345536.659,627470.869,635742.408,90.3,98.5,74.7,93.2,100.8,100.7,100.3,101.1,100,100.4,100.4,100.5,100.2,100.2,303907.302,142996.337,160910.965,3039.533,115485.036,176725.975,341104.638,181785.3,6863,174217.4,1352.3,8.8,3247.77,.,15792,-8592.72607294922,1059.56166666667,-17665.5338099839
11/2008,344880.305,639993.542,648296.529,98.5,100.7,69.5,99,100.7,100.7,99.9,100.1,99.9,100.2,100.1,100.7,100.1,100.2,311331.801,140108.299,171223.502,3288.328,116714.386,177342.306,343499.366,185079.3,7858.7,176165.1,1398.5,9.1,3326.94,.,12036,-7305.32959618215,325.561666666667,-9438.85029307569
12/2008,349943.138,660239.876,666231.322,102.3,101,67.3,105.2,100.8,100.4,99.4,100.1,99.9,99.9,99.9,100.6,100.1,100.1,328363.144,143364.861,184998.283,3552.204,119929.142,197780.882,366966.9,184165.2,8476.9,174574.3,1473.8,9.5,3428.01,.,29877,-9504.97072915015,615.561666666667,-12585.751726248
01/2009,341261.22,663027.986,668851.699,101.5,103,70.6,98.3,101.1,100.5,96.5,100.4,100,100.5,100.2,100.2,100.2,100.4,337996.709,144965.504,193031.205,3820.023,121621.578,208814.078,380233.953,204779.7,10503.4,193035.2,1634.4,10.4,3215.75,.,22096,-6069.84469009574,-66.4656666666667,-9426.77236876006
02/2009,347599.195,674154.748,680923.304,110.7,106.8,72,100.6,100.6,100.7,98.2,100.1,100,100.9,100.6,100.6,100.2,100.3,347306.519,150041.749,197264.77,4062.702,122564.25,217396.102,390537.031,227516.4,11478.1,214731,1718.8,10.9,3195.56,.,9737,426.497923196753,8256.53433333333,2699.82847665056
03/2009,356863.295,678861.293,683678.499,97.9,104,74.6,107.4,101.9,101,100.3,100.2,100,100.7,100.8,100.7,100.4,100.4,352118.62,155023.906,197094.714,3754.281,124154.961,217551.64,392877.558,216926.6,10763.2,204736.1,1758.8,11.1,3332.65,.,9665,-3554.4186640814,261.534333333333,-3803.54419806763
04/2009,351967.7,675202.149,680025.794,96.7,101.5,79.1,102,101.6,100.8,99.9,100.1,100,100.7,100.8,100.1,100.4,100.4,352715.121,158349.551,194365.57,3813.813,125601.377,209644.381,386930.25,210588.6,9665.4,199591.1,1719.9,10.9,3294.76,.,12893,-4454.32415105511,2994.91533333333,-1608.43292914654
05/2009,359925.408,680445.217,685393.376,101.6,96.7,82.7,98.6,100.7,100.5,100,100,100,100.5,100.5,100.2,100.3,100.3,354895.192,160780.919,194114.273,3995.314,127701.231,213579.296,393714.88,216024,10231,204646.5,1683.4,10.7,3193.9,.,9909,-4422.47084422426,1054.91533333333,-4237.54273590982
06/2009,370618.225,687454.585,693693.402,105.9,105.5,84.8,105.2,98.9,100.9,99.5,99.6,100,100.2,100.2,100,100.3,100.2,359149.781,166863.585,192286.196,3904.649,129156.51,215225.464,396990.03,212987.6,9880.2,201963.4,1658.7,10.6,3287.88,.,11847,-4282.61270302309,474.915333333333,-362.331566827697
07/2009,363656.133,682404.833,689427.678,97.1,97.7,87.9,100.4,98.8,102.7,98.3,100,100,100.1,100.1,100.4,100.4,100.2,359798.499,167925.557,191872.942,3961.502,130277.301,206809.846,389786.413,211185.7,9148.7,200618.5,1676.1,10.7,3361.9,.,15472,-6234.14389972029,1268.99733333333,-6503.11884057971
08/2009,371091.279,678889.774,685391.105,86.3,95.3,90.2,96.9,98.7,100.1,98.3,100.1,100,99.6,99.5,100.1,100,100.1,359412.29,170338.041,189074.249,4142.473,131684.936,208472.523,393210.921,217406.4,9065.6,202431.8,1689,10.8,3268.69,.,11568,-3221.09406631828,276.997333333333,-3207.36066666667
09/2009,372829.797,685513.764,691267.906,102.4,100.6,93.9,94.8,99.8,100.3,101.7,101.1,100,100,100,100.3,100.2,100.1,360513.495,171712.842,188800.653,4170.108,133440.806,215758.535,402700.33,225520.6,9558.3,208574.6,1715.9,10.9,3283.18,.,11654,-4264.42264667311,350.997333333333,-10160.4074927536
10/2009,378638.679,698940.699,711193.49,98.7,98.1,101.2,90.5,100.3,100.2,101.7,101,99.9,100.1,100.1,100.3,100.2,100.1,360775.441,171403,189372.441,4296.966,134458.851,219136.414,411235.906,239275.9,9882.4,222044.5,1744.3,11.1,3312.32,.,15512,-5824.26975460295,2744.984,-5565.46231884058
11/2009,381533.238,694897.356,699860.597,100.9,99.9,110.1,98.3,100.7,100.1,100,100.1,99.6,100.3,100.3,100.3,100,100.1,363956.574,173503.997,190452.577,4365.673,134763.462,218250.927,407501.475,234349.2,10678.8,216531.8,1811.1,11.4,3403.92,.,13569,-7318.86313888659,1648.984,-9883.80353623188
12/2009,388344.854,714757.821,720232.522,102.4,103.2,117.9,93.5,100.5,100,99.4,100,99,100,99.9,100.5,99.8,100,376878.617,183365.326,193513.291,4246.995,135273.689,221558.917,410717.692,226859.2,10411.7,209225.4,1892.7,12.1,3652.4,.,16080,-7218.22111866465,2829.984,-8138.82634782609
01/2010,381269.211,705346.047,711029.218,105,105.9,116.3,95.8,100.9,100.1,97.7,100.2,100.6,100.6,100.5,100.3,100.3,100.4,380499.194,185947.531,194551.663,4209.853,135121.651,223304.839,412401.799,247458.5,10419.6,229750.4,2052.5,12.9,3231.13,.,12791,-5656,1421,-11284
02/2010,383426.827,711014.143,715590.898,96.7,99,117.7,97.4,100.3,100.6,98.4,100,99.6,100.2,100.1,100.2,100,100.2,385434.281,189518.083,195916.198,4228.714,134599.117,222398.215,411399.878,249053.9,10767.8,231009.4,2101.5,13.2,3288.29,.,9864,-1034,2293,-592
03/2010,389585.128,712761.519,721504.861,94.9,93.3,117.3,102.6,100.3,101.3,100.6,100.1,99.8,100.3,100.3,100.3,100.2,100.2,384533.613,191270.498,193263.115,3954.35,135579.037,223577.06,414782.812,244786.6,10543.8,227217.7,2076.7,13,3493.42,.,11392,-7382,1311,-8575
04/2010,388314.907,713066.938,721225.832,98.7,100.1,115.2,96,100.7,100.4,100.5,100,100,100.4,100.4,100,100.2,100.1,383749.235,195193.218,188556.017,3481.546,135842.113,226992.728,418904.984,259574.2,11396.1,241012,1973.8,12.4,3398.67,.,10805,-3019,2296,-4432
05/2010,409020.187,730147.686,737851.887,105.3,96.2,116.4,105.7,100.7,100.3,99.8,100.1,100,100.3,100.4,99.8,100.1,100.1,387453.42,200484.282,186969.138,3316.203,136935.38,237085.399,431077.381,286569.5,13237.9,265497.6,1907.9,12.1,3346.61,.,8986,-2840,760,4401
06/2010,415238.887,736375.596,742764.178,112.3,100,118.1,116,100.5,100.1,99.7,100.1,100,100.3,100.3,100,100.2,100.1,392017.614,205063.441,186954.173,3123.444,137576.058,253189.979,448503.849,290100,13933.8,268074.2,1843.9,11.7,3403.65,.,9941,-6871,1150,-10844
07/2010,414521.548,734376.016,743271.862,103.8,98.4,119.6,98.8,98.9,100.1,98.7,100,100,99.8,99.7,100,100.1,100.1,393386.14,205843.609,187542.531,3169.975,137371.375,247316.413,442786.696,286269.9,11877,267032.6,1812.8,11.5,3433.32,.,11662,-9452,3716,-11290
08/2010,421048.225,739043.378,749563.609,117.8,102.1,121.2,103.4,98.6,100.1,98,100,100,99.6,99.5,99.9,99.9,100.1,395058.93,207203.304,187855.626,3214.223,138324.35,257098.904,453962.072,293965,12890.7,273570.4,1800.2,11.4,3407.26,.,10549,-7148,309,-12348
09/2010,419209.58,744491.803,752866.413,106.3,101.8,121.6,94.8,101.8,100,102.6,101,100,100.6,100.7,100.3,100.2,100.2,395315.895,207425.41,187890.485,3139.716,138066.182,255041.074,451853.015,288523.1,12688.6,268662.7,1812.6,11.5,3403.68,.,11684,-8668,1161,-6985
10/2010,420153.157,748187.115,756551.718,100.4,101.5,121.6,91.1,101,100.2,101.7,100.6,99.9,100.5,100.5,100.4,100.2,100.2,396528.677,207739.58,188789.097,3168.468,137759.646,254658.765,451332.465,287926.4,12771.1,267999.7,1818.6,11.5,3440.22,.,11740,-6759,5215,-2944
11/2010,428822.91,754637.689,763350.145,102.6,108.3,115.9,98.5,100.2,100.6,100,100.1,100,100.1,100.1,100.3,100,100.1,400521.394,209963.053,190558.341,3184.602,138293.77,267579.013,465845.386,302321.6,14244.4,280592.2,1858.3,11.7,3525.67,.,12218,-11655,473,-12621
12/2010,449191.967,774657.904,783648.468,110,104.8,112.8,102.3,100,100.3,99.8,100.1,100,100.4,100.4,100.3,100.1,100.1,413072.27,224264.514,188807.756,3142.422,137710.446,271459.944,467749.879,277186.1,13831.7,255885.8,1954.7,12.4,3847.91,.,14203,-9653,5599,-15345
01/2011,436387.857,761148.796,769157.526,114,101.5,112.4,95.3,101.8,100.7,96.8,100.3,99.5,101.2,100.9,100.9,100.4,100.9,415620.525,224816.624,190803.901,3191.137,136418.253,268195.459,463879.581,276172,12727.7,256216.6,2105,13.1,3391.59,4042.6,10282,-6158,-2659,-15814
02/2011,444200.793,768891.436,775999.704,105.2,101.8,113.6,106.5,100.7,100.3,97.7,100.1,100,100.2,100.2,100.2,100.1,100.3,421989.244,229376.341,192612.903,3196.749,135512.291,272022.376,467528.842,297816.1,13418.1,277096.4,2150.2,13.4,3422.14,3912.3,8047,-2659,5168,1929
03/2011,458907.882,792669.573,801198.988,97.8,107.1,117.4,107,102.1,100.2,103.1,100.1,100,100.9,101.1,100.5,100.5,100.4,425138.633,230188.769,194949.864,3074.815,135010.97,273810.417,469745.858,301008.7,13366.6,280269.9,2133.9,13.3,3633.54,4602.3,9171,-5704,784,-9776
04/2011,441125.94,779152.287,790249.402,103.7,100.8,119.2,105.9,100.8,100,101.2,100.1,100.1,100.5,100.6,100.3,100.4,100.3,425711.25,232161.876,193549.374,3020.542,134105.036,274563.226,470655.259,296780.1,13464.7,276248.4,2043.5,12.8,3597.84,4486.3,9473,-2949,3263,-10141
05/2011,447246.535,783468.524,795501.165,104.6,100.8,117.8,98.6,101.3,100.5,101.9,100.1,98.8,100.6,100.6,100.4,100.4,100.4,423785.872,229406.282,194379.59,2993.105,135122.185,285413.34,483346.973,295578.4,13969.7,274268.7,1962.6,12.4,3483.99,4796.5,8753,-2330,334,-2653
06/2011,451246.657,788125.22,797345.218,99.8,97.5,116.9,103.6,98.2,100.6,99.6,99.9,98.3,99.6,99.5,100.1,100.1,100.1,426893.83,229659.28,197234.55,2902.832,134448.541,291901.346,489983.244,300337.7,13730.5,279274.3,1883.3,11.9,3600.47,4687.7,8842,-14163,1996,-9710
